Produto,UF,Ano,area_colhida_ha,area_plantada_ha,producao_t,produtividade_kg_ha,valor_producao_mil_reais
Soja (em grao),Roraima,2019,39930,39930,110090,2757,129785
Soja (em grao),Roraima,2020,49800,49800,139550,2802,307483
Soja (em grao),Roraima,2021,71178,71178,225398,3167,693180
Soja (em grao),Roraima,2022,102785,102785,346647,3373,1025095
Soja (em grao),Roraima,2023,128197,128197,445076,3472,920596
Soja (em grao),Roraima,2024,117215,117215,416650,3555,839864
Soja (em grao),Santa Catarina,2000,212412,212412,524688,2470,146709
Soja (em grao),Santa Catarina,2001,198853,198853,534321,2687,151103
Soja (em grao),Santa Catarina,2002,240163,243665,529941,2206,211033
Soja (em grao),Santa Catarina,2003,257086,257086,712175,2770,403675
Soja (em grao),Santa Catarina,2004,314439,314469,641748,2040,483912
Soja (em grao),Santa Catarina,2005,350692,354717,607413,1732,294966
Soja (em grao),Santa Catarina,2006,331537,331627,798809,2409,334978
Soja (em grao),Santa Catarina,2007,385496,385696,1111456,2883,516012
Soja (em grao),Santa Catarina,2008,373358,373358,946463,2535,675967
Soja (em grao),Santa Catarina,2009,385418,385418,993991,2578,725681
Soja (em grao),Santa Catarina,2010,440419,440459,1378532,3130,730264
Soja (em grao),Santa Catarina,2011,457422,457422,1490551,3259,1031549
Soja (em grao),Santa Catarina,2012,451449,452349,1079690,2392,877642
Soja (em grao),Santa Catarina,2013,521271,521339,1586351,3043,1449428
Soja (em grao),Santa Catarina,2014,560098,560098,1668235,2978,1761491
Soja (em grao),Santa Catarina,2015,608483,608641,2000323,3287,1942543
Soja (em grao),Santa Catarina,2016,660761,660764,2139611,3238,2597647
Soja (em grao),Santa Catarina,2017,661855,667892,2447350,3698,2550334
Soja (em grao),Santa Catarina,2018,673700,673700,2338046,3470,2753686
Soja (em grao),Santa Catarina,2019,665015,665548,2270512,3414,2725018
Soja (em grao),Santa Catarina,2020,664795,664795,2243989,3375,3095490
Soja (em grao),Santa Catarina,2021,688972,688980,2323735,3373,5335478
Soja (em grao),Santa Catarina,2022,752930,754520,2159405,2868,6396938
Soja (em grao),Santa Catarina,2023,775673,776923,2951678,3805,7016732
Soja (em grao),Santa Catarina,2024,811243,814633,2733806,3370,5325337
Soja (em grao),São Paulo,2000,535010,535010,1190110,2224,342752
Soja (em grao),São Paulo,2001,530000,530000,1355680,2557,480670
Soja (em grao),São Paulo,2002,576800,576807,1560520,2705,756119
Soja (em grao),São Paulo,2003,642450,642450,1708938,2660,962014
Soja (em grao),São Paulo,2004,779880,779880,1854230,2377,1235039
Soja (em grao),São Paulo,2005,781210,781210,1703660,2180,798297
Soja (em grao),São Paulo,2006,656600,656600,1648100,2510,658320
Soja (em grao),São Paulo,2007,475973,475973,1243833,2613,679516
Soja (em grao),São Paulo,2008,525940,525940,1446108,2749,995494
Soja (em grao),São Paulo,2009,494273,494551,1327105,2684,895572
Soja (em grao),São Paulo,2010,495104,495833,1412934,2853,921711
Soja (em grao),São Paulo,2011,461305,488342,1271437,2756,901771
Soja (em grao),São Paulo,2012,562647,562648,1566956,2785,1423334
Soja (em grao),São Paulo,2013,610452,610452,1844951,3022,1671773
Soja (em grao),São Paulo,2014,692589,693592,1709229,2468,1708011
Soja (em grao),São Paulo,2015,791903,792081,2406262,3039,2398440
Soja (em grao),São Paulo,2016,848782,848839,2792796,3290,3165672
Soja (em grao),São Paulo,2017,946540,946540,3291823,3478,3462056
Soja (em grao),São Paulo,2018,973064,973124,3410297,3505,3967501
Soja (em grao),São Paulo,2019,1080336,1080541,3455497,3199,4016746
Soja (em grao),São Paulo,2020,1132955,1132965,3887567,3431,6802029
Soja (em grao),São Paulo,2021,1199351,1199351,4184832,3489,10198570
Soja (em grao),São Paulo,2022,1252070,1252070,4478064,3577,12392459
Soja (em grao),São Paulo,2023,1360285,1360285,4962226,3648,11912646
Soja (em grao),São Paulo,2024,1355595,1388333,3626440,2675,7161317
Soja (em grao),Sergipe,2000,,,,,
Soja (em grao),Sergipe,2001,,,,,
Soja (em grao),Sergipe,2002,,,,,
Soja (em grao),Sergipe,2003,,,,,
Soja (em grao),Sergipe,2004,,,,,
Soja (em grao),Sergipe,2005,,,,,
Soja (em grao),Sergipe,2006,,,,,
Soja (em grao),Sergipe,2007,,,,,
Soja (em grao),Sergipe,2008,,,,,
Soja (em grao),Sergipe,2009,,,,,
Soja (em grao),Sergipe,2010,,,,,
Soja (em grao),Sergipe,2011,,,,,
Soja (em grao),Sergipe,2012,,,,,
Soja (em grao),Sergipe,2013,,,,,
Soja (em grao),Sergipe,2014,,,,,
Soja (em grao),Sergipe,2015,,,,,
Soja (em grao),Sergipe,2016,,,,,
Soja (em grao),Sergipe,2017,,,,,
Soja (em grao),Sergipe,2018,,,,,
Soja (em grao),Sergipe,2019,,,,,
Soja (em grao),Sergipe,2020,,,,,
Soja (em grao),Sergipe,2021,,,,,
Soja (em grao),Sergipe,2022,,,,,
Soja (em grao),Sergipe,2023,,,,,
Soja (em grao),Sergipe,2024,,,,,
Soja (em grao),Tocantins,2000,57919,57919,144362,2492,36895
Soja (em grao),Tocantins,2001,82098,82098,188226,2292,50214
Soja (em grao),Tocantins,2002,107377,107377,244329,2275,93149
Soja (em grao),Tocantins,2003,153048,153048,377638,2467,211072
Soja (em grao),Tocantins,2004,253466,253466,652322,2573,375745
Soja (em grao),Tocantins,2005,355300,355300,905328,2548,390151
Soja (em grao),Tocantins,2006,321090,329220,742891,2313,269028
Soja (em grao),Tocantins,2007,304096,304096,731672,2406,322064
Soja (em grao),Tocantins,2008,329508,329508,894309,2714,605724
Soja (em grao),Tocantins,2009,315560,315560,875428,2774,575844
Soja (em grao),Tocantins,2010,352875,352875,991326,2809,594909
Soja (em grao),Tocantins,2011,396132,396132,1193453,3013,807180
Soja (em grao),Tocantins,2012,415463,415463,1276928,3074,969249
Soja (em grao),Tocantins,2013,536545,536545,1557939,2904,1203175
Soja (em grao),Tocantins,2014,718374,719356,2094100,2915,1951334
Soja (em grao),Tocantins,2015,830031,830031,2418367,2914,2001281
Soja (em grao),Tocantins,2016,828435,845745,1922508,2321,1924493
Soja (em grao),Tocantins,2017,842160,842160,2410207,2862,2283976
Soja (em grao),Tocantins,2018,898582,898582,2606036,2900,2613259
Soja (em grao),Tocantins,2019,905044,905281,2615178,2890,2803522
Soja (em grao),Tocantins,2020,962399,962399,3004239,3122,4646661
Soja (em grao),Tocantins,2021,1112598,1113801,3477152,3125,9013076
Soja (em grao),Tocantins,2022,1166489,1167122,3785386,3245,10495855
Soja (em grao),Tocantins,2023,1331473,1331484,4340578,3260,9825827
Soja (em grao),Tocantins,2024,1422613,1428227,4343438,3053,7423563
